Kaggle Task name,TASK_id,Document id_,Search,Output,Distance,
"What is known about transmission, incubation, and environmental stability?",Task1_Incubation,6d3b3f4ab80a61c45f82c61c6c756cfc6ddf4bf2,"Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.
Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).
Implementation of diagnostics and products to improve clinical processes","The incubation period of an infectious disease is the time elapsed between infection and appearance of the first symptoms and signs. Precise knowledge of the incubation period would help to provide an optimal length of quarantine period for disease control purpose, and also is essential in the investigation of the mechanism of transmission and development of treatment. For example, the distribution of the incubation period is used to estimate the reproductive number ? , that is, the average number of secondary infections produced by a primary case. The reproductive number is a key quantity that impacts the potential size of an epidemic. Despite the importance of the incubation period, it is often poorly estimated based on limited data.",,
"What is known about transmission, incubation, and environmental stability?",Task1_Incubation,091a8e9a61e19e88caeb039f0e3888d111b20439,"Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.
Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).
Implementation of diagnostics and products to improve clinical processes","Traditionally, incubation period is defined as the period between the infection of an individual by a pathogen and the manifestation of the illness or disease it causes [32, 33] . Different infectious diseases have different incubation periods. However, for a certain infectious disease, its incubation period is relatively fixed. Since the number of pathogens entering the body, virulence and reproductive capacity, as well as power of resistance are different for different people, thus, it is reported that the incubation periods obtained from patients for a certain disease should follow logarithm normal distribution [16, 33] . Generally, incubation period can be measured by physiological observations and biological experiments [33] . The determination of incubation period has great implications for disease transmission control and policy making.",,
"What is known about transmission, incubation, and environmental stability?",Task1_Incubation,'555bbbbd23da02c97c6a4238937e31b5781438a9',"Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.
Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).
Implementation of diagnostics and products to improve clinical processes","'Susceptible individuals (S) are infected at a rate which depends on their age and on the interventions applied at the current time. Infected individuals (E) incubate the infection for a mean duration of 1.9 days. To obtain a realistic distribution of this duration, the incubation period is modelled in 7 stages yielding a gamma distributed incubation period with a coefficient of variation of 37.8%. The last 2 incubation stages are regarded as early infectious period during which patients may already spread the infection. This accounts for an average time of about half a day for the standard set of parameters.'",,
"What is known about transmission, incubation, and environmental stability?",Task1_Incubation,e1aa6060418bdc240f2d12689b99e06b66c96242,"Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.
Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).
Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).
Implementation of diagnostics and products to improve clinical processes","'The incubation period in natural outbreaks is about 1 day but may be from 1 to 8 days. The major signs are referable to infection of the respiratory, nervous, and reproductive systems. There is considerable variation in the clinical manifestation, depending on the virulence and tropism of the infecting strain. Nervous system disease is the major manifestation, but with some strains, respiratory disease may be the initial and prime presenting feature. There is also strain variation in the pattern of age susceptibility.'",,
"What is known about transmission, incubation, and environmental stability?",Task1_Transmissison,679aafff5a2403fb48ab7bf416b6d5d97c02b798,"Prevalence of asymptomatic shedding and transmission (e.g., particularly children).
Seasonality of transmission.
Disease models, including animal models for infection, disease and transmission
Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings
Role of the environment in transmission
Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings","'The epidemiology and the transmission pattern of MERS-CoV to date indicate that the majority of cases occur in the health care setting. Strengthening the infection control measures in the health care setting is of great importance. Since about 25% of cases are community based, there is a real need to further prevent the animal-to-human transmission of MERS-CoV. It is also important to further delineate the transmission routes and the presence of any other animal or intermediate hosts.'",,
"What is known about transmission, incubation, and environmental stability?",Task1_Transmissison,5b55ec31d0401d32dff3b0e2fb6bbcc74ad50abf,"Prevalence of asymptomatic shedding and transmission (e.g., particularly children).
Seasonality of transmission.
Disease models, including animal models for infection, disease and transmission
Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings
Role of the environment in transmission
Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings",'• Educate the public on modes of transmission and risk factors for infection. • Raise awareness of the disease among high-risk groups such as animal workers and in school settings. • Make recommendations for environmental cleanup of contaminated surfaces and fomites with dilute bleach solution (1:10).',,
"What is known about transmission, incubation, and environmental stability?",Task1_Transmissison,e400309a9601ccd52d0fbee511e868dfed9acef0,"Prevalence of asymptomatic shedding and transmission (e.g., particularly children).
Seasonality of transmission.
Disease models, including animal models for infection, disease and transmission
Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings
Role of the environment in transmission
Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings","'Due to the way of transmission, environmental factors, potential bacteria carriers in presumed healthy animal population, erysipelas remains a disease of specific occupational groups that contact with animals and their tissues.'",,
"What is known about transmission, incubation, and environmental stability?",Task1_Transmissison,5b55ec31d0401d32dff3b0e2fb6bbcc74ad50abf,"Prevalence of asymptomatic shedding and transmission (e.g., particularly children).
Seasonality of transmission.
Disease models, including animal models for infection, disease and transmission
Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings
Role of the environment in transmission
Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings",'• Ensure that owners bring affected animals for prompt treatment; be aware that there are inapparent carriers and that use of corticosteroids may prolong infection. • Counsel clients and veterinary care staff about handwashing and other measures to avoid zoonotic transmission.',,
"What is known about transmission, incubation, and environmental stability?",Task1_environmental_stability,ef9ef4544974adca08fac249d0a1102cadf2ff0e,"Physical science of the coronavirus (e.g., charge distribution, adhesion 
to hydrophilic/phobic surfaces,environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).
Natural history of the virus and shedding of it from an infected person
Tools and studies to monitor phenotypic change and potential adaptation of the virus
Immune response and immunity
Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)
From a Symptomatic Patient Coronaviruses have been implicated in nosocomial outbreaks1
with environmental contamination as a route of transmission.2
Similarly, nosocomial transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been
reported.3 However, the mode of transmission and extent of
environmental contamination are unknown.
A novel human coronavirus that is now named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (formerly called HCoV-19) emerged in Wuhan, China, in late 2019 and is now causing a pandemic.1 We analyzed the aerosol and surface stability of SARS-CoV-2 and compared it with SARS-CoV-1, the most closely related human coronavirus.2

We evaluated the stability of SARS-CoV-2 and SARS-CoV-1 in aerosols and on various surfaces and estimated their decay rates using a Bayesian regression model (see the Methods section in the Supplementary Appendix, available with the full text of this letter at NEJM.org). SARS-CoV-2 nCoV-WA1-2020 (MN985325.1) and SARS-CoV-1 Tor2 (AY274119.3) were the strains used. Aerosols (<5 ?m) containing SARS-CoV-2 (105.25 50% tissue-culture infectious dose [TCID50] per milliliter) or SARS-CoV-1 (106.75-7.00 TCID50 per milliliter) were generated with the use of a three-jet Collison nebulizer and fed into a Goldberg drum to create an aerosolized environment. The inoculum resulted in cycle-threshold values between 20 and 22, similar to those observed in samples obtained from the upper and lower respiratory tract in humans.
","'Since a coronavirus was identified as the causative agent of the 2003 outbreak of severe acute respiratory syndrome (SARS), [1] [2] [3] [4] scientific interest in this family of viruses has increased dramatically. 5 Coronaviruses are enveloped, positive-strand RNA viruses that cause a wide spectrum of disease in humans and animals. These viruses are divided into three distinct groups on the basis of genome organization and phylogenetic analysis. Human coronavirus 229E (HCoV 229E) causes a mild form of the common cold and belongs to group 1, which includes the recently discovered human coronavirus NL63 6 and the porcine coronavirus, transmissible gastroenteritis virus (TGEV). Human coronaviruses belonging to group 2 are OC43 and HKU1, the latter also having been discovered very recently. 7 The SARS coronavirus has been classified as an outlier of group 2. 8 Coronaviruses infecting birds have been identified as a separate group (group 3). 9 The genome of HCoV 229E consists of 27,277 nucleotides, comprising a total of eight open reading frames. The entire replicase complex of the virus is encoded within two large overlapping open reading frames, ORF 1a and ORF 1b. ORF 1a codes for polyprotein 1a (pp1a) with a calculated molecular mass of 454 kDa. Involving a (?1) ribosomal frameshift, translation of ORF 1a and ORF 1b together yields the giant polypeptide 1ab (pp1ab) with a calculated molecular mass of 754 kDa. 10, 11 These polyproteins are processed by two virus-encoded papain-like proteases (PL1 pro and PL2 pro ) 12 and the main proteinase (M pro , also called 3C-like protease, 3CL pro ), 13 resulting in 16 non-structural proteins (Nsps). The crystal structure of HCoV-229E M pro has been determined by our group 14 and shown to be similar to that of the homologous enzyme from TGEV. 15 The structure of the SARS-CoV M pro16, 17 is also very similar.'",,
"What is known about transmission, incubation, and environmental stability?",Task1_environmental_stability,100e1748933be43717aa1090691d2a2dee131c1f,"Physical science of the coronavirus (e.g., charge distribution, adhesion 
to hydrophilic/phobic surfaces,environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).
Natural history of the virus and shedding of it from an infected person
Tools and studies to monitor phenotypic change and potential adaptation of the virus
Immune response and immunity
Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)
From a Symptomatic Patient Coronaviruses have been implicated in nosocomial outbreaks1
with environmental contamination as a route of transmission.2
Similarly, nosocomial transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been
reported.3 However, the mode of transmission and extent of
environmental contamination are unknown.
A novel human coronavirus that is now named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (formerly called HCoV-19) emerged in Wuhan, China, in late 2019 and is now causing a pandemic.1 We analyzed the aerosol and surface stability of SARS-CoV-2 and compared it with SARS-CoV-1, the most closely related human coronavirus.2

We evaluated the stability of SARS-CoV-2 and SARS-CoV-1 in aerosols and on various surfaces and estimated their decay rates using a Bayesian regression model (see the Methods section in the Supplementary Appendix, available with the full text of this letter at NEJM.org). SARS-CoV-2 nCoV-WA1-2020 (MN985325.1) and SARS-CoV-1 Tor2 (AY274119.3) were the strains used. Aerosols (<5 ?m) containing SARS-CoV-2 (105.25 50% tissue-culture infectious dose [TCID50] per milliliter) or SARS-CoV-1 (106.75-7.00 TCID50 per milliliter) were generated with the use of a three-jet Collison nebulizer and fed into a Goldberg drum to create an aerosolized environment. The inoculum resulted in cycle-threshold values between 20 and 22, similar to those observed in samples obtained from the upper and lower respiratory tract in humans.
","'Recently, a coronavirus was identified as the causative agent of an emerging disease, severe acute respiratory syndrome (SARS) (Ksiazek et al., 2003) . During its first outbreak in 2003, SARS led to at least 8000 infections and over 750 fatalities (Donnelly et al., 2003) . The SARS coronavirus (SARS-CoV) genome consists of approximately 29,700 nucleotides encoding a predicted 28 proteins (Marra et al., 2003; Rota et al., 2003) , including several alternative ORFs. These occur in the 3 0 region of the genome, which encodes structural and accessory proteins that are involved in the assembly of the virus particle (see Figure 1) . Although the precise details of coronavirus assembly are not well understood, the consensus model is that the RNA genome is packaged in the cell cytoplasm by multiple copies of the relatively well conserved (Stadler et al., 2003) N-protein to form the nucleocapsid. The nucleocapsid then associates with the viral membrane proteins M, S, and E in the ER-to-Golgi intermediate compartment, where virus particles assemble and bud into the Golgi. In SARS-CoV, as in other group 2 coronaviruses, an additional protein is synthesized (called ORF-9b in SARS-CoV and internal or I-protein otherwise) from an alternative reading frame of the N-gene. In BCV, the I-protein is produced in an exact molar ratio with the N-protein (Senanayake and Brian, 1997) and in MHV it is present in the assembled virion, suggesting that it acts as an accessory structural protein in viral assembly (Fischer et al., 1997) . The MHV I-protein is not essential for the production of viable virus; however, it does confer a selective advantage for virus growth (Fischer et al., 1997) . Although little is known about the equivalent protein in SARS Co-V, antibodies against ORF-9b have been found in patients, demonstrating that it is produced during infection (Qiu et al., 2005) .'",,
